Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
7.jpg,malignant,472.1484375,628.0,316.7578125,610.0,0.9927390822517147,0.990342324608618,0.9951287513840616,0.9906191369606003,1.8515625,2.462745098039216,1.2421875,2.392156862745098,0.5162076508196966,0.5280875228252553,0.5046339793345442,0.5268745960940703,0.6944547784168048,0.6911907216947435,0.6968154915439675,0.6914622680390426,0.8333395336936829,0.8313788075809627,0.8347547493389705,0.8315421023851063,0.9756616461003812,0.9677260014573766,0.9836717372572178,0.9686510523710189
70.jpg,malignant,1639.5703125,2546.0,1271.015625,2192.0,0.9747859269753637,0.9608464306585058,0.980453731968751,0.9662904069141574,6.4296875,9.984313725490196,4.984375,8.596078431372549,0.7438903419908134,0.7914057202911535,0.7228736900538124,0.773966328648094,0.5391733737287041,0.5252338349740089,0.5445875651980309,0.5302812174242864,0.7342842594858643,0.7247301808080087,0.7379617640488095,0.7282041042347168,0.9422015354363141,0.9104320816932299,0.9551938998886615,0.922885751402812
71.jpg,malignant,974.1796875,1538.0,878.5546875,1360.0,0.9850186127472088,0.9763479223695137,0.9864891783671147,0.9790852889613386,3.8203125,6.031372549019608,3.4453125,5.333333333333333,0.7708970263142672,0.804972450530858,0.7646657095842805,0.7946198926533266,0.4852977248459126,0.4770112620748445,0.4867264121296496,0.47962667137310483,0.6966331350473595,0.6906600191663367,0.6976578044640865,0.6925508438902553,0.9700334747634456,0.9526852506743045,0.9729749741731687,0.9581612099590731
72.jpg,malignant,231.09375,322.0,253.0078125,396.0,0.9964461330852274,0.995048134592317,0.996109128463999,0.9939101282563898,0.90625,1.2627450980392159,0.9921875,1.5529411764705883,0.34166282081029997,0.3494162554861917,0.34336868199961695,0.35472581983097634,0.8201950421712801,0.8181927983514459,0.8198605413557886,0.8170673404677851,0.9056462014336946,0.9045401032300591,0.9054615073849294,0.9039177730677637,0.9798374694183726,0.9720039141263875,0.977925505311494,0.9655700310374207
75.jpg,malignant,1215.234375,1890.0,948.28125,1702.0,0.9813115619136962,0.9709347030418601,0.9854168909359333,0.9738258542736751,4.765625,7.411764705882353,3.71875,6.674509803921569,0.6682147159298043,0.7065238151915729,0.6519915815963819,0.6966089850722441,0.5925746937964065,0.5817182852068992,0.5965434911039323,0.5844497704059347,0.7697887332225684,0.7627045858042937,0.7723622797003569,0.7644931460817257,0.9519676042449802,0.9254840660352985,0.9625189829846075,0.9328962330116817
76.jpg,malignant,757.03125,934.0,330.703125,932.0,0.9883580221757451,0.9856365146249193,0.9949142938978255,0.9856672715529172,2.96875,3.6627450980392156,1.296875,3.6549019607843136,0.4111991588646027,0.4226290928274406,0.3827880640726766,0.4225136595894272,0.7876909576732807,0.7843536576075124,0.7941376556079693,0.7843835323739826,0.8875195534033493,0.8856374301075539,0.8911440150772317,0.8856542961980045,0.9420218314271427,0.9287121893723126,0.9746726947813309,0.9288648399304019
77.jpg,malignant,675.3515625,998.0,470.15625,876.0,0.9896141303094147,0.9846522929289823,0.9927697190354627,0.9865284655368622,2.6484375,3.9137254901960783,1.84375,3.4352941176470586,0.5561449451228803,0.5776780754799276,0.5419418152240044,0.570179791995611,0.6694462104982157,0.6636716836055574,0.6725462567169178,0.6654938135319262,0.8181969264781039,0.8146604713655606,0.8200891760759422,0.8157780418299614,0.967571590065745,0.9522192346685736,0.9774244697802827,0.9580601699094894
78.jpg,malignant,948.28125,1258.0,464.1796875,1206.0,0.9854168909359333,0.9806538922892382,0.9928616293867069,0.981453572417187,3.71875,4.933333333333334,1.8203125,4.7294117647058815,0.5255581285958105,0.5445509982888462,0.4940362152106938,0.541636875870438,0.7052245685440997,0.6997474164625708,0.7125077057764742,0.7005168060490738,0.8397764991615921,0.8365090653797906,0.844101715302412,0.8369688202370945,0.9479918503413193,0.9312202308274056,0.974542229263713,0.9340632737502791
79.jpg,malignant,404.41406250000006,586.0,332.6953125,556.0,0.9937807328991481,0.9909882200965768,0.9948836571140774,0.9914495740165473,1.5859375000000002,2.298039215686275,1.3046875,2.180392156862745,0.5179347375262442,0.5319306844576197,0.5125124073179639,0.5298668683519315,0.689879314652868,0.6862124269182839,0.6909697531260512,0.6866656852915383,0.8305897390727073,0.8283793979320611,0.8312459041258797,0.8286529341597351,0.9795375314793178,0.9704388537655338,0.9831663436307689,0.9719522230266838
80.jpg,malignant,525.9375,742.0,342.65625,686.0,0.9919118890905176,0.9885891797127303,0.9947304731953374,0.9894503736966752,2.0625,2.9098039215686273,1.34375,2.6901960784313728,0.3416727580781731,0.355924701252339,0.3291855788556932,0.3525541486055142,0.8304722642733564,0.826642756305393,0.8332532409409844,0.8274850507471989,0.9113025097481936,0.9091989640916849,0.9128270597111944,0.909662053043436,0.9499195733790398,0.92959498338631,0.9673718432621017,0.9349085695458338
82.jpg,malignant,1848.75,2866.0,1466.25,2430.0,0.9715690646818196,0.9559253221788209,0.9774513271614431,0.9626303324823916,7.25,11.239215686274509,5.75,9.529411764705882,0.7254570912883112,0.7762669104537994,0.7046366015057384,0.7558054336899571,0.5633808928844976,0.5479144536282071,0.5689633611659277,0.5540734650751692,0.7505870321851408,0.7402124381744791,0.7542966002614142,0.7443611120116158,0.9304849750100113,0.8924867627373588,0.9448673939734571,0.9088425797110197
83.jpg,malignant,950.2734375,1288.0,500.0390625,1212.0,0.9853862541521853,0.9801925383692677,0.9923101672792423,0.9813613016331929,3.7265625,5.0509803921568635,1.9609375,4.752941176470588,0.4220754526214425,0.4415356416776026,0.39419204526522916,0.4375073110832774,0.7852002037602726,0.7794997774049877,0.7919697905778429,0.7806236228014511,0.8861152316489501,0.8828928459360104,0.8899268456327424,0.8835290729803129,0.9270757744721201,0.9014954593575247,0.9616268750366923,0.907307839084876
